STATE,STATEFP,COUNTYFP,COUNTYNS,COUNTYNAME,CLASSFP,FUNCSTAT,countyfips,countynames_full,Valid_State
AL,01,001,161526,Autauga County,H1,A,01001,"Autauga County, AL",True
AL,01,003,161527,Baldwin County,H1,A,01003,"Baldwin County, AL",True
AL,01,005,161528,Barbour County,H1,A,01005,"Barbour County, AL",True
AL,01,007,161529,Bibb County,H1,A,01007,"Bibb County, AL",True
AL,01,009,161530,Blount County,H1,A,01009,"Blount County, AL",True
AL,01,011,161531,Bullock County,H1,A,01011,"Bullock County, AL",True
AL,01,013,161532,Butler County,H1,A,01013,"Butler County, AL",True
AL,01,015,161533,Calhoun County,H1,A,01015,"Calhoun County, AL",True
AL,01,017,161534,Chambers County,H1,A,01017,"Chambers County, AL",True
AL,01,019,161535,Cherokee County,H1,A,01019,"Cherokee County, AL",True
AL,01,021,161536,Chilton County,H1,A,01021,"Chilton County, AL",True
AL,01,023,161537,Choctaw County,H1,A,01023,"Choctaw County, AL",True
AL,01,025,161538,Clarke County,H1,A,01025,"Clarke County, AL",True
AL,01,027,161539,Clay County,H1,A,01027,"Clay County, AL",True
AL,01,029,161540,Cleburne County,H1,A,01029,"Cleburne County, AL",True
AL,01,031,161541,Coffee County,H1,A,01031,"Coffee County, AL",True
AL,01,033,161542,Colbert County,H1,A,01033,"Colbert County, AL",True
AL,01,035,161543,Conecuh County,H1,A,01035,"Conecuh County, AL",True
AL,01,037,161544,Coosa County,H1,A,01037,"Coosa County, AL",True
AL,01,039,161545,Covington County,H1,A,01039,"Covington County, AL",True
AL,01,041,161546,Crenshaw County,H1,A,01041,"Crenshaw County, AL",True
AL,01,043,161547,Cullman County,H1,A,01043,"Cullman County, AL",True
AL,01,045,161548,Dale County,H1,A,01045,"Dale County, AL",True
AL,01,047,161549,Dallas County,H1,A,01047,"Dallas County, AL",True
AL,01,049,161550,DeKalb County,H1,A,01049,"DeKalb County, AL",True
AL,01,051,161551,Elmore County,H1,A,01051,"Elmore County, AL",True
